variable	0	1	3	7	14
Bifidobacterium breve UCC2003	3.6112514387954024e-4	1.6709002295860643e-4	9.63887454056696e-5	2.0805982551217252e-5	1.0142205322743668e-05
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222	0.003295109360847618	0.0015259174192171947	8.646755474288649e-4	1.981818755296631e-4	1.384037090897422e-4
Faecalibacterium prausnitzii A2-165	0.02724675248198664	0.01129763992934487	0.014501313556085003	0.014024850170585542	0.013679168415800913
Faecalibacterium prausnitzii SL3/3	0.01706307692267092	0.022524471966633406	0.016973089522088692	0.018249477814920118	0.014121575813130264
Faecalibacterium prausnitzii L2-6	0.016438407396478658	0.0099942479431422	0.010590941894826796	0.01568054403638685	0.015922479973175273
Bifidobacterium adolescentis L2-32	0.016924820082929372	0.0053555702542688365	0.007355358390137958	2.444587520925311e-5	5.0811920455777785e-6
Faecalibacterium cf. prausnitzii KLE1255	0.014401163567161708	0.011321554912879183	0.007665190097336385	0.00700604221536277	0.00746868760500614
Roseburia intestinalis XB6B4	0.013704670104259103	0.00826922145920968	0.005686631587740299	0.008414109290842341	0.008109956139743819
Bacteroides fragilis 3_1_12	0.002873675866796155	0.004165513976689677	0.00494336862136665	0.00418595210676354	0.004024151117237198
Eubacterium hallii DSM 3353	0.022774374908751765	0.016574020810315542	0.02683641682765811	0.02623904066352697	0.027064078803891087
